,thread_id,execution_time,stall_cycles,nvm_accesses,latency_calculation_overhead_cycles,injected_delay_cycles,injected_delay_in_usec
0,3152424,42394670,3889102160,21022173,0,7138060523,2855224
1,3152510,41911822,3644590949,19700491,0,6690791070,2676316
2,3152595,41947426,3710271775,20055523,0,6812032399,2724812
